date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:43	96874/96874	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2006:42:48%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/jquery/jquery.js?ver=1.12.4	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/jquery/jqueryb8ff.js	(from https://canadaconstructionlimited.ca/)
15:55:47	908/908	---MC-	200	added ('OK')	text/xml	date:Thu,%2023%20Dec%202021%2010:25:42%20GMT	https://canadaconstructionlimited.ca/xmlrpc.php?rsd	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/xmlrpc0db0.php	(from https://canadaconstructionlimited.ca/)
15:56:05	2450/2450	---MC-	200	added ('OK')	text/xml	date:Thu,%2023%20Dec%202021%2010:26:05%20GMT	https://canadaconstructionlimited.ca/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcanadaconstructionlimited.ca%2F&format=xml	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-json/oembed/1.0/embedc1e9	(from https://canadaconstructionlimited.ca/)
15:56:06	21987/21987	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2023%20Dec%202021%2010:26:06%20GMT	https://use.typekit.net/xhg2qel.js	/storage/emulated/0/HTTrack/Websites/raj%20construction/use.typekit.net/xhg2qel.js	(from https://canadaconstructionlimited.ca/)
15:56:08	5723/5723	---M--	200	added ('OK')	image/png	date:Mon,%2023%20May%202016%2004:11:18%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2016/05/ccl-logo-e1463976674943.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2016/05/ccl-logo-e1463976674943.png	(from https://canadaconstructionlimited.ca/)
15:56:10	34516/34516	---M--	200	added ('OK')	image/png	date:Mon,%2023%20May%202016%2002:47:49%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2016/05/ccl-logo-m.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2016/05/ccl-logo-m.png	(from https://canadaconstructionlimited.ca/)
15:56:13	42675/42675	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:26:10%20GMT	https://canadaconstructionlimited.ca/projects/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/projects/index.html	(from https://canadaconstructionlimited.ca/)
15:56:22	37973/37973	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:26:19%20GMT	https://canadaconstructionlimited.ca/contact/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/contact/index.html	(from https://canadaconstructionlimited.ca/)
15:56:22	23775/23775	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:26:19%20GMT	https://canadaconstructionlimited.ca/request-a-quote/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/request-a-quote/index.html	(from https://canadaconstructionlimited.ca/)
15:56:49	29133/29133	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Apr%202017%2017:44:28%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2017/04/IMG_3995-e1491759864250-373x373.jpg	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2017/04/IMG_3995-e1491759864250-373x373.jpg	(from https://canadaconstructionlimited.ca/)
15:56:52	38074/38074	---M--	200	added ('OK')	image/jpeg	date:Sun,%2009%20Apr%202017%2017:41:02%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2017/04/IMG_4045-373x373.jpg	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2017/04/IMG_4045-373x373.jpg	(from https://canadaconstructionlimited.ca/)
15:56:53	27616/27616	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:26:51%20GMT	https://canadaconstructionlimited.ca/projects/cloud-gardens-conservatory/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/projects/cloud-gardens-conservatory/index.html	(from https://canadaconstructionlimited.ca/)
15:56:54	25911/25911	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:26:53%20GMT	https://canadaconstructionlimited.ca/projects/don-valley-golf-course/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/projects/don-valley-golf-course/index.html	(from https://canadaconstructionlimited.ca/)
15:56:54	25501/25501	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Dec%202021%2010:26:52%20GMT	https://canadaconstructionlimited.ca/projects/nashdene-yard-new-prefabricated-canopy/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/projects/nashdene-yard-new-prefabricated-canopy/index.html	(from https://canadaconstructionlimited.ca/)
15:56:56	41371/41371	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Mar%202016%2001:55:49%20GMT	https://dnncontracting.ca/dnn-cms/images/header-background.jpg	/storage/emulated/0/HTTrack/Websites/raj%20construction/dnncontracting.ca/dnn-cms/images/header-background.jpg	(from https://canadaconstructionlimited.ca/)
15:56:59	307373/307373	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Jun%202016%2005:48:41%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2016/05/our-services-final.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2016/05/our-services-final.png	(from https://canadaconstructionlimited.ca/)
15:57:08	8056/8056	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:58:37%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes//js/waypoints.min.js?ver=2.0.5	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes/js/waypoints.minc1b4.js	(from https://canadaconstructionlimited.ca/)
15:57:25	2665/2665	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:58:37%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes//js/jquery.circliful.min.js?ver=2.1.6	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes/js/jquery.circliful.min784e.js	(from https://canadaconstructionlimited.ca/)
15:57:26	7855/7855	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2008:43:45%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/imagesloaded.min.js?ver=3.2.0	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/imagesloaded.min55a0.js	(from https://canadaconstructionlimited.ca/)
15:57:28	17264/17264	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:58:37%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes//js/jquery.shuffle.min.js?ver=3.1.1	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes/js/jquery.shuffle.minb12b.js	(from https://canadaconstructionlimited.ca/)
15:57:28	3810/3810	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:58:37%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes//js/frontend.js?ver=1.0.0	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/constructent-shortcodes/js/frontend8a54.js	(from https://canadaconstructionlimited.ca/)
15:57:29	641/641	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/lib/js/widgets.js?ver=1.0	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/lib/js/widgets5152.js	(from https://canadaconstructionlimited.ca/)
15:57:30	14710/14710	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Nov%202018%2016:38:24%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.0.5	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/includes/js/scripts1748.js	(from https://canadaconstructionlimited.ca/)
15:57:32	16410/16410	---M--	200	added ('OK')	application/javascript	date:Tue,%2003%20May%202016%2017:21:15%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/underscore.min.js?ver=1.8.3	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/underscore.min4511.js	(from https://canadaconstructionlimited.ca/)
15:57:32	23318/23318	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20May%202017%2001:56:30%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/backbone.min.js?ver=1.2.3	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/backbone.min9632.js	(from https://canadaconstructionlimited.ca/)
15:57:33	696/696	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2008:43:45%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/api-request.min.js?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/api-request.min7938.js	(from https://canadaconstructionlimited.ca/)
15:57:34	14535/14535	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2008:43:44%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/wp-api.min.js?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/wp-api.min7938.js	(from https://canadaconstructionlimited.ca/)
15:57:35	1780/1780	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/js/jquery.fitvids.min.js?ver=1.1	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/js/jquery.fitvids.min4963.js	(from https://canadaconstructionlimited.ca/)
15:57:37	57209/57209	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:53:57%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/js/bootstrap.js?ver=3.1.1	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/js/bootstrapb12b.js	(from https://canadaconstructionlimited.ca/)
15:57:45	11931/11931	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/js/jquery.colorbox.min.js?ver=1.6.3	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/js/jquery.colorbox.min905d.js	(from https://canadaconstructionlimited.ca/)
15:57:46	2292/2292	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20May%202016%2020:53:57%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/js/scripts.js?ver=1.0.0	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/js/scripts8a54.js	(from https://canadaconstructionlimited.ca/)
15:57:47	1076/1076	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2008:43:44%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/comment-reply.min.js?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/comment-reply.min7938.js	(from https://canadaconstructionlimited.ca/)
15:57:49	11084/11084	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-2b4c%22	http://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	/storage/emulated/0/HTTrack/Websites/raj%20construction/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	(from https://canadaconstructionlimited.ca/)
15:57:58	1391/1391	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2008:43:44%20GMT	https://canadaconstructionlimited.ca/wp-includes/js/wp-embed.min.js?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-includes/js/wp-embed.min7938.js	(from https://canadaconstructionlimited.ca/)
15:58:00	51730/51730	---M--	200	added ('OK')	application/javascript	date:Tue,%2018%20Apr%202017%2015:35:34%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/jquery.royalslider.min.js?ver=3.2.6	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/jquery.royalslider.minc169.js	(from https://canadaconstructionlimited.ca/)
15:58:04	722/722	---MC-	200	added ('OK')	application/rss+xml	etag:%22fa0102ef2d3bd1aca20caf21f1e36c37%22	https://canadaconstructionlimited.ca/comments/feed/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/comments/feed/index.html	(from https://canadaconstructionlimited.ca/)
15:58:08	28848/28848	---MC-	200	added ('OK')	application/rss+xml	etag:%220deccfaaee005032cae35d6666a25265%22	https://canadaconstructionlimited.ca/feed/	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/feed/index.html	(from https://canadaconstructionlimited.ca/)
15:58:09	1737/1737	---M--	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/lib/css/widgets.css?ver=0008cb8d37357d786544de63ffad24da	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/lib/css/widgets7938.css	(from https://canadaconstructionlimited.ca/)
15:58:10	847/847	---M--	200	added ('OK')	image/gif	date:Sat,%2003%20Nov%202018%2016:38:23%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/images/ajax-loader.gif	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://canadaconstructionlimited.ca/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5)
15:58:11	19844/19844	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Dec%202021%2010:28:10%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.eot	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.eot	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:12	19844/19844	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Dec%202021%2010:28:11%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.eot?	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regulard41d.eot	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:12	19844/19844	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Dec%202021%2010:28:12%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.woff2	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.woff2	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:14	19844/19844	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Dec%202021%2010:28:13%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.woff	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.woff	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:14	19844/19844	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Dec%202021%2010:28:14%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.ttf	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.ttf	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:15	19844/19844	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Dec%202021%2010:28:15%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.svg	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/fonts/glyphicons-halflings-regular.svg	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/bootstrap.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:17	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/fonts/Pe-icon-7-stroke.eot?d7yf1v	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/css/fonts/Pe-icon-7-strokebb1d.eot	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/pe-icon-7-stroke.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:22	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/fonts/Pe-icon-7-stroke.eot?	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/css/fonts/Pe-icon-7-stroked41d.eot	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/pe-icon-7-stroke.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:23	58556/58556	---M--	200	added ('OK')	font/woff	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/fonts/Pe-icon-7-stroke.woff?d7yf1v	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/css/fonts/Pe-icon-7-strokebb1d.woff	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/css/pe-icon-7-stroke.min.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:27	352300/352300	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20May%202016%2016:30:47%20GMT	https://canadaconstructionlimited.ca/wp-content/uploads/2015/04/14055327806_3e4279e9f7_h.jpg	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/uploads/2015/04/14055327806_3e4279e9f7_h.jpg	(from https://canadaconstructionlimited.ca/)
15:58:44	116/116	---M--	200	added ('OK')	image/png	date:Thu,%2012%20May%202016%2020:53:56%20GMT	https://canadaconstructionlimited.ca/wp-content/themes/ccl/img/stripe-line.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/themes/ccl/img/stripe-line.png	(from https://canadaconstructionlimited.ca/wp-content/themes/ccl/style.css?ver=0008cb8d37357d786544de63ffad24da)
15:58:45	99/99	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202017%2015:35:34%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/grab.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/grab.png	(from https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/royalslider.css?ver=3.2.6)
15:58:46	2889/2889	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202017%2015:35:34%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/grabbing.png	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/grabbing.png	(from https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/royalslider.css?ver=3.2.6)
15:58:47	49/49	---M--	200	added ('OK')	image/gif	date:Tue,%2018%20Apr%202017%2015:35:34%20GMT	https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/blank.gif	/storage/emulated/0/HTTrack/Websites/raj%20construction/canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/blank.gif	(from https://canadaconstructionlimited.ca/wp-content/plugins/new-royalslider/lib/royalslider/royalslider.css?ver=3.2.6)
